"_id","count","school","pincode","city"
"d. a. v. c. p. school(000000)","5","D. A. V. C. P. School","000000","Not-Applicable"
"d. a.v ser sec. school no. 2(000000)","1","D. A.V ser sec. School No. 2","000000","Not-Applicable"
"d.a.v centenary public school(000000)","8","D.A.V CENTENARY PUBLIC SCHOOL","000000","Not-Applicable"
"d.a.v. senior secondary boys school(000000)","1","D.A.V. Senior Secondary Boys school","000000","Not-Applicable"
"d.s.m.govt.h.s.school phopnar(000000)","1","D.S.M.Govt.H.S.School phopnar","000000","Not-Applicable"
"d.a.v.c.public school(000000)","1","D.a.v.c.public school","000000","Not-Applicable"
"d.c.d p g college dhanauri(000000)","2","D.c.d p g college dhanauri","000000","Not-Applicable"
"dav nigahi(000000)","8","DAV Nigahi","000000","Not-Applicable"
"dav public nigahi(000000)","1","DAV PUBLIC NIGAHI","000000","Not-Applicable"
"dav acc public school(000000)","1","DAV acc public school","000000","Not-Applicable"
"dav school(000000)","6","DAV school","000000","Not-Applicable"
"dav senior secondary school lakheri(000000)","1","DAV senior secondary school lakheri","000000","Not-Applicable"
"dbra sose(000000)","6","DBRA SOSE","000000","Not-Applicable"
"dc model sr. sec. school(000000)","1","DC Model Sr. Sec. School","000000",""
"diet kvs school(000000)","1","DIET kvs school","000000","Not-Applicable"
"dps(000000)","31","DPS","000000","Not-Applicable"
"dps silver city nabha(000000)","2","DPS Silver City Nabha","000000","Not-Applicable"
"dps sitapur(000000)","1","DPS sitapur","000000","Not-Applicable"
"dpsdubai(000000)","1","DPSDubai","000000","Not-Applicable"
"dr.rajendra prasad kendriya vidyalaya(000000)","3","DR.RAJENDRA PRASAD KENDRIYA VIDYALAYA","000000","Not-Applicable"
"dr.rajendra prasad kv(000000)","1","DR.RAJENDRA PRASAD KV","000000","Not-Applicable"
"dams(000000)","2","Dams","000000","Not-Applicable"
"dashmesh bharti vidya mandir high school(000000)","4","Dashmesh Bharti Vidya Mandir High school","000000","Not-Applicable"
"dav school cws jayant(000000)","1","Dav school cws jayant","000000","Not-Applicable"
"dayanand  public school(000000)","24","Dayanand  public school","000000","Not-Applicable"
"dayanand public school , nabha(000000)","1","Dayanand public school , Nabha","000000","Not-Applicable"
"dcpems(000000)","1","Dcpems","000000","Not-Applicable"
"delhi english academy school(000000)","3","Delhi English academy school","000000","Not-Applicable"
"delhi private school(000000)","5","Delhi Private School","000000","Not-Applicable"
"delhi private school, dubai(000000)","3","Delhi Private School, Dubai","000000","Not-Applicable"
"delhi public school(000000)","69","Delhi Public School","000000","Not-Applicable"
"delhi public school nashik(000000)","13","Delhi Public School Nashik","000000","Not-Applicable"
"delhi world school(000000)","3","Delhi world school","000000","Not-Applicable"
"deogiri college(000000)","2","Deogiri College","000000","Not-Applicable"
"dhannori. pg. college. dhannori.(000000)","1","Dhannori. PG. College. Dhannori.","000000","Not-Applicable"
"dhanori pg college(000000)","3","Dhanori pg college","000000","Not-Applicable"
"diet korba(000000)","27","Diet korba","000000","Not-Applicable"
"disha delphi public school(000000)","3","Disha Delphi public school","000000","Not-Applicable"
"divyansh(000000)","1","Divyansh","000000","Not-Applicable"
"dr b.r. ambedkar sose (humanities)(000000)","1","Dr B.R. Ambedkar SOSE (HUMANITIES)","000000","Not-Applicable"
"dr. b.r ambedkar govt. degree college(000000)","3","Dr. B.R Ambedkar govt. Degree college","000000","Not-Applicable"
"dr. cyrus poonawalla school(000000)","1","Dr. Cyrus Poonawalla school","000000","Not-Applicable"
"dr.r.k.shanmugam arts and science(000000)","1","Dr.R.K.shanmugam arts and science","000000","Not-Applicable"
"dudda(000000)","2","Dudda","000000","Not-Applicable"
